cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
1012-72-2,506,"1,4-Di-tert-butylbenzene",对二叔丁基苯,,adamas,1g,1-5-2,190.32,0.985,solid
10139-47-6,507,Zinc iodide,碘化锌,,adamas,1g,5-1,319.2,4.74,solid
101-41-7,508,Methyl phenylacetate,苯乙酸甲酯,,adamas,100ml,2-4,150.17,1.066,solid
101-55-3,509,4-Bromophenoxybenzene,4-溴苯基-苯基醚,,adamas,5g,1-3-3,249.1,1.423,liquid
1016-77-9,510,3-Bromobenzophenone,3-溴二苯甲酮,,adamas,1g,1-3-3,261.11,1.4245,solid
101-70-2,511,"4,4'-Dimethoxydiphenylamine","4,4'-二甲氧基二苯胺",,adamas,25g,3-5,229.27,1.0955,solid
10170-68-0,512,Chromium(III) chloride tetrahydrofuran complex (1:3),四氢呋喃氯化铬,,energy,1g,gR-催化剂,374.67,,solid
101-81-5,513,Diphenylmethane,二苯基甲烷,,adamas,100g,1-5-2,168.23,1.006,liquid
101-82-6,514,2-Benzylpyridine,2-苄基吡啶,,adamas,25ml,4-2-1,169.22,1.054,liquid
101-83-7,515,Dicyclohexylamine,二环己胺,,安耐吉;adamas,100ml;500ml,3-5,181.32,0.912,liquid
102-01-2,516,Acetoacetanilide,乙酰乙酰苯胺,,安耐吉,100g,4-4-2,177.2,1.1,solid
102-07-8,517,"1,3-Diphenylurea","1,3-二苯脲",,adamas,100g,4-4-1,212.25,1.239,solid
10213-10-2,518,Sodium tungstate dihydrate,钨酸钠 二水合物,,3A,100g,6-2,288.84,4.18,solid
10226-29-6,519,1-Bromo-5-hexanone,6-溴-2-己酮,,adamas,1g,R2,179.05,1.3494,liquid
10226-30-9,520,6-Chloro-2-hexanone,6-氯-2-己酮,,adamas,25g,2-3,134.6,1.02,liquid
10229-10-4,521,3-Pentyn-1-ol,3-戊炔-1-醇,,安耐吉;adamas,1g,2-2A;R9,84.12,0.912,liquid
102-47-6,522,"3,4-Dichlorobenzyl chloride","3,4-二氯氯苄",,adamas,25g,1-2-2,195.47,1.411,liquid
102-54-5,523,ferrocene,二茂铁,,adamas,100g,D-2;D3,186.03,1.49,solid
102-71-6,524,Triethanolamine,三乙醇胺,,安耐吉,100ml,2-2,149.19,1.124,liquid
102-86-3,525,Trihexylamine,三己胺,,安耐吉,5ml,3-5,269.51,0.794,liquid
10294-33-4,526,Boron tribromide,三溴化硼,,adamas,100ml,R3,250.52,2.6,liquid
10294-41-4,527,Cerium nitrate hexahydrate,"硝酸铈,六水合物",,安耐吉,25g,gR-催化剂,221.14,4.37,solid
10294-42-5,528,Cerium(IV) sulfate tetrahydrate,"硫酸铈,四水合物",,adamas,100g,D3,256.2,1.06,solid
